feature,weight
CONFIG_NET_RADIO,1
CONFIG_NET,355
CONFIG_IPV6,11
CONFIG_NET_CLS_POLICE,1
CONFIG_NET_SCH_CBQ,1
CONFIG_NET_SCHED,9
CONFIG_NET_CLS_ACT,2
CONFIG_NET_CLS,3
CONFIG_IP_MROUTE,1
CONFIG_INET,50
CONFIG_COMPAT,9
CONFIG_NF_CONNTRACK_H323,1
CONFIG_NETFILTER,30
CONFIG_SND_PCM,2
CONFIG_SND,38
CONFIG_IEEE80211,1
CONFIG_ISDN_I4L,1
CONFIG_ISDN,2
CONFIG_VIDEOBUF_VMALLOC,1
CONFIG_VIDEO_DEV,5
CONFIG_NETLABEL,3
CONFIG_CIFS,16
CONFIG_NF_NAT_SNMP_BASIC,2
CONFIG_PPPOL2TP,3
CONFIG_IP_SCTP,25
CONFIG_SND_SEQUENCER,6
CONFIG_SBNI,1
CONFIG_WAN,3
CONFIG_SYSCTL,3
CONFIG_SUNRPC,2
CONFIG_NFSD_V4,6
CONFIG_NFSD,11
CONFIG_VIDEO_TVAUDIO,1
CONFIG_SKFP,1
CONFIG_EXT4_FS,26
CONFIG_ECRYPT_FS,8
CONFIG_SYSVIPC,6
CONFIG_AGP,3
CONFIG_PROC_FS,18
CONFIG_NETROM,5
CONFIG_ROSE,5
CONFIG_X25,4
CONFIG_NFS_FS,12
CONFIG_NFS_V4,8
CONFIG_E1000,1
CONFIG_R8169,3
CONFIG_TUN,3
CONFIG_MMU,4
CONFIG_SECURITY,1
CONFIG_BINFMT_SHARED_FLAT,1
CONFIG_BINFMT_FLAT,1
CONFIG_CFG80211,5
CONFIG_EISA,1
CONFIG_PARISC,1
CONFIG_LLC2,5
CONFIG_LLC,5
CONFIG_ECONET,6
CONFIG_ATALK,2
CONFIG_IRDA,5
CONFIG_CAN_RAW,2
CONFIG_CAN,15
CONFIG_SCSI_GDTH,2
CONFIG_SCSI,18
CONFIG_KEYS,13
CONFIG_KVM,34
CONFIG_MEGARAID_SAS,4
CONFIG_MEGARAID_NEWGEN,2
CONFIG_HISAX_HFCUSB,1
CONFIG_ISDN_DRV_HISAX,1
CONFIG_FUSE_FS,5
CONFIG_FIREWIRE_OHCI,1
CONFIG_FIREWIRE,2
CONFIG_IPV6_MIP6_MODULE,1
CONFIG_IPV6_MIP6,1
CONFIG_BRIDGE_NF_EBTABLES,3
CONFIG_BRIDGE,8
CONFIG_NUMA,5
CONFIG_MIGRATION,2
CONFIG_FUTEX,9
CONFIG_BT_SCO,2
CONFIG_BT,26
CONFIG_BT_L2CAP,3
CONFIG_BT_RFCOMM,4
CONFIG_DVB_CORE,3
CONFIG_BTRFS_FS,5
CONFIG_GFS2_FS,4
CONFIG_BTRFS_FS_POSIX_ACL,1
CONFIG_XFS_FS,11
CONFIG_HVC_DRIVER,1
CONFIG_DRM,3
CONFIG_JFS_FS,3
CONFIG_CAN_BCM,4
CONFIG_DRM_I915,3
CONFIG_VIDEO_V4L1_COMPAT,1
CONFIG_AIO,6
CONFIG_FUNCTION_TRACER,5
CONFIG_RING_BUFFER,5
CONFIG_TRACING,4
CONFIG_X86_DS,1
CONFIG_NIU,1
CONFIG_CDROM_PKTCDVD,1
CONFIG_STACK_GROWSUP,1
CONFIG_AX25,7
CONFIG_PACKET,7
CONFIG_TIPC,9
CONFIG_INET_DIAG,2
CONFIG_RDS,13
CONFIG_USB_SERIAL_MOS7720,1
CONFIG_USB_SERIAL,13
CONFIG_PCI,38
CONFIG_USB,45
CONFIG_USB_SERIAL_MOS7840,1
CONFIG_FB_SIS,1
CONFIG_VIDEO_FB_IVTV,1
CONFIG_VIDEO_IVTV,1
CONFIG_SND_HDSP,1
CONFIG_SND_HDSPM,1
CONFIG_FB_VIA,1
CONFIG_BLOCK,12
CONFIG_INOTIFY_USER,2
CONFIG_IGB,1
CONFIG_ECONET_AUNUDP,2
CONFIG_SCSI_BFA_FC,2
CONFIG_DEBUG_FS,1
CONFIG_ACPI,2
CONFIG_SOUND_OSS,1
CONFIG_SOUND_PRIME,2
CONFIG_DMASOUND,2
CONFIG_HERMES,1
CONFIG_WLAN,24
CONFIG_USB_IOWARRIOR,1
CONFIG_MLX4_CORE,1
CONFIG_OCFS2_FS,4
CONFIG_DVB_AV7110,1
CONFIG_BRIDGE_IGMP_SNOOPING,4
CONFIG_MAC_PARTITION,1
CONFIG_LDM_PARTITION,2
CONFIG_RDS_RDMA,2
CONFIG_INFINIBAND_USER_ACCESS,1
CONFIG_INFINIBAND,8
CONFIG_BT_BNEP,2
CONFIG_EPOLL,2
CONFIG_IP_DCCP,4
CONFIG_TCG_TPM,1
CONFIG_OSF_PARTITION,1
CONFIG_IP_NF_ARPTABLES,3
CONFIG_IP_NF_IPTABLES,3
CONFIG_IP6_NF_IPTABLES,3
CONFIG_SOUND_YM3812,1
CONFIG_BONDING,1
CONFIG_NET_IPGRE,1
CONFIG_NET_IPIP,1
CONFIG_INET6_XFRM_TUNNEL,2
CONFIG_IPV6_TUNNEL,1
CONFIG_IPV6_SIT,2
CONFIG_EFI_PARTITION,1
CONFIG_KSM,1
CONFIG_TASKSTATS,2
