"cve_id","product","id","flag"
"CVE-2022-3109","debian/debian_linux","656cb0450aeb73b25d7d26980af342b37ac4c568","(defined(CONFIG_AVCODEC)) & (defined(CONFIG_VP3_DECODER))"
"CVE-2022-3341","debian/debian_linux","9cf652cef49d74afe3d454f27d49eb1a1394951e","(defined(CONFIG_AVFORMAT)) & (defined(CONFIG_NUT_DEMUXER))"
"CVE-2023-26545","debian/debian_linux","fda6c89fe3d9aca073495a664e1d5aea28cd4377","(defined(CONFIG_MPLS_ROUTING)) & (defined(CONFIG_MPLS)) & (defined(CONFIG_NET))"
"CVE-2011-2161","ffmpeg/ffmpeg","8312e3fc9041027a33c8bc667bb99740fdf41dd5","(defined(CONFIG_AVFORMAT)) & (defined(CONFIG_APE_DEMUXER))"
"CVE-2011-3362","ffmpeg/ffmpeg","c5cbda50793e311aa73489d12184ffd6761c9fbf","(defined(CONFIG_AVCODEC)) & (defined(CONFIG_CAVS_DECODER))"
"CVE-2011-3362","ffmpeg/ffmpeg","91d5da9321c52e8197fb14046ebb335f3e6ff4a0","(defined(CONFIG_AVCODEC)) & (defined(CONFIG_CAVS_DECODER))"
"CVE-2011-3929","ffmpeg/ffmpeg","5a396bb3a66a61a68b80f2369d0249729bf85e04","(defined(CONFIG_AVFORMAT)) & ((defined(CONFIG_DVVIDEO_DECODER)) | (defined(CONFIG_DVVIDEO_ENCODER)) | (defined(CONFIG_DV_DEMUXER)))"
"CVE-2011-3934","ffmpeg/ffmpeg","247d30a7dba6684ccce4508424f35fd58465e535","(defined(CONFIG_AVCODEC)) & (defined(CONFIG_VP3_DECODER))"
"CVE-2011-3936","ffmpeg/ffmpeg","2d1c0dea5f6b91bec7f5fa53ec050913d851e366","(defined(CONFIG_AVFORMAT)) & ((defined(CONFIG_DVVIDEO_DECODER)) | (defined(CONFIG_DVVIDEO_ENCODER)) | (defined(CONFIG_DV_DEMUXER)))"
"CVE-2011-3936","ffmpeg/ffmpeg","635bcfccd439480003b74a665b5aa7c872c1ad6b","(defined(CONFIG_AVFORMAT)) & ((defined(CONFIG_DVVIDEO_DECODER)) | (defined(CONFIG_DVVIDEO_ENCODER)) | (defined(CONFIG_DV_DEMUXER)))"
"CVE-2011-3937","ffmpeg/ffmpeg","71db86d53b5c6872cea31bf714a1a38ec78feaba","(defined(CONFIG_AVCODEC)) & ((defined(CONFIG_MSMPEG4V2_DECODER)) | (defined(CONFIG_MSMPEG4V3_DECODER)) | (defined(CONFIG_MSMPEG4V3_ENCODER)) | (defined(CONFIG_H263_DECODER)) | (defined(CONFIG_MSMPEG4V2_ENCODER)) | (defined(CONFIG_MPEG4VIDEO_PARSER)) | (defined(CONFIG_H263_DEMUXER)) | (defined(CONFIG_WMV2_ENCODER)))"
"CVE-2011-3940","ffmpeg/ffmpeg","c898431ca5ef2a997fe9388b650f658fb60783e5","(defined(CONFIG_AVFORMAT)) & (defined(CONFIG_NSV_DEMUXER))"
"CVE-2011-3940","ffmpeg/ffmpeg","8fd8a48263ff1437f9d02d7e78dc63efb9b5ed3a","(defined(CONFIG_AVFORMAT)) & (defined(CONFIG_NSV_DEMUXER))"
"CVE-2011-3940","ffmpeg/ffmpeg","5c011706bc752d34bc6ada31d7df2ca0c9af7c6b","(defined(CONFIG_AVFORMAT)) & (defined(CONFIG_NSV_DEMUXER))"
"CVE-2011-3941","ffmpeg/ffmpeg","c77be3a35a0160d6af88056b0899f120f2eef38e","(defined(CONFIG_AVCODEC)) & ((defined(CONFIG_MPEGVIDEO_DECODER)) | (defined(CONFIG_RV40_DECODER)) | (defined(CONFIG_EAMAD_DECODER)) | (defined(CONFIG_EATQI_DECODER)) | (defined(CONFIG_SVQ1_ENCODER)) | (defined(CONFIG_H261_DECODER)) | (defined(CONFIG_SVQ1_DECODER)) | (defined(CONFIG_SVQ3_DECODER)) | (defined(CONFIG_H263_DECODER)) | (defined(CONFIG_MPEG1VIDEO_ENCODER)) | (defined(CONFIG_MDEC_DECODER)) | (defined(CONFIG_H264_PARSER)) | (defined(CONFIG_H263_ENCODER)) | (defined(CONFIG_SNOW_ENCODER)) | (defined(CONFIG_MPEG4VIDEO_PARSER)) | (defined(CONFIG_MPEG2VIDEO_DECODER)) | (defined(CONFIG_MPEG2VIDEO_ENCODER)) | (defined(CONFIG_RV30_DECODER)) | (defined(CONFIG_MPEGVIDEO_PARSER)) | (defined(CONFIG_H264_DECODER)) | (defined(CONFIG_VC1_PARSER)) | (defined(CONFIG_MPEG1VIDEO_DECODER)))"
"CVE-2011-3945","ffmpeg/ffmpeg","a02e8df973f5478ec82f4c507f5b5b191a5ecb6b","(defined(CONFIG_AVCODEC)) & (defined(CONFIG_KGV1_DECODER))"
"CVE-2011-3945","ffmpeg/ffmpeg","807a045ab7f51993a2c1b3116016cbbd4f3d20d6","(defined(CONFIG_AVCODEC)) & (defined(CONFIG_KGV1_DECODER))"
"CVE-2011-3946","ffmpeg/ffmpeg","9decfc17bb76da34734296048d390b176abf404c","(defined(CONFIG_AVCODEC)) & ((defined(CONFIG_H264_PARSER)) | (defined(CONFIG_H264_DECODER)) | (defined(CONFIG_SVQ3_DECODER)))"
"CVE-2011-3947","ffmpeg/ffmpeg","b57d262412204e54a7ef8fa1b23ff4dcede622e5","(defined(CONFIG_AVCODEC)) & (defined(CONFIG_MJPEGB_DECODER))"
"CVE-2011-3949","ffmpeg/ffmpeg","e2291ea1534d17306f685b8c8abc8585bbed87bf","(defined(CONFIG_AVCODEC)) & ((defined(CONFIG_DIRAC_DECODER)) | (defined(CONFIG_DIRAC_DEMUXER)))"
"CVE-2011-3950","ffmpeg/ffmpeg","ddf0c1d86ad8e1df5ab3265206aef493a1bdc813","(defined(CONFIG_AVCODEC)) & ((defined(CONFIG_DIRAC_DECODER)) | (defined(CONFIG_DIRAC_DEMUXER)))"
"CVE-2011-3951","ffmpeg/ffmpeg","ce7aee9b733134649a6ce2fa743e51733f33e67e","(defined(CONFIG_AVCODEC)) & ((defined(CONFIG_INTERPLAY_DPCM_DECODER)) | (defined(CONFIG_ROQ_DPCM_DECODER)) | (defined(CONFIG_SOL_DPCM_DECODER)) | (defined(CONFIG_XAN_DPCM_DECODER)))"
"CVE-2011-3973","ffmpeg/ffmpeg","bd968d260aef322fb32e254a3de0d2036c57bd56","(defined(CONFIG_AVCODEC)) & (defined(CONFIG_CAVS_DECODER))"
"CVE-2011-4031","ffmpeg/ffmpeg","c2a2ad133eb9d42361804a568dee336992349a5e","(defined(CONFIG_AVFORMAT)) & (defined(CONFIG_RTPDEC))"
"CVE-2011-4364","ffmpeg/ffmpeg","c0cbe36b18ab3eb13a53fe684ec1f63a00df2c86","(defined(CONFIG_AVCODEC)) & ((defined(CONFIG_VMDAUDIO_DECODER)) | (defined(CONFIG_VMDVIDEO_DECODER)))"
"CVE-2011-4579","ffmpeg/ffmpeg","6e24b9488e67849a28e64a8056e05f83cf439229","(defined(CONFIG_AVCODEC)) & ((defined(CONFIG_SVQ1_DECODER)) | (defined(CONFIG_SVQ3_DECODER)))"
"CVE-2012-0847","ffmpeg/ffmpeg","ae21776207e8a2bbe268e7c9e203f7599dd87ddb","defined(CONFIG_AVFILTER)"
"CVE-2012-0848","ffmpeg/ffmpeg","5257743aee0c3982f0079e6553aabc6aa39401d2","(defined(CONFIG_AVCODEC)) & (defined(CONFIG_WS_SND1_DECODER))"
"CVE-2012-0849","ffmpeg/ffmpeg","1f99939a6361e2e6d6788494dd7c682b051c6c34","(defined(CONFIG_AVCODEC)) & ((defined(CONFIG_JPEG2000_DECODER)) | (defined(CONFIG_JPEG2000_ENCODER)))"
"CVE-2012-0850","ffmpeg/ffmpeg","944f5b2779e4aa63f7624df6cd4de832a53db81b","(defined(CONFIG_AVCODEC)) & (defined(CONFIG_AAC_DECODER))"
"CVE-2012-0851","ffmpeg/ffmpeg","7fff64e00d886fde11d61958888c82b461cf99b9","(defined(CONFIG_AVCODEC)) & ((defined(CONFIG_H264_DECODER)) | (defined(CONFIG_H264_PARSER)) | (defined(CONFIG_SVQ3_DECODER)))"
